nombre,poblacion,superficie,continente
"argentina","46234830","2780400","america"
"brasil","211140729","8515767","america"
"chile","19629590","756102","america"
"uruguay","3426260","176215","america"
"mexcico","130861007","1964375","america"
"alemania","84552242","357022","europa"
"francia","68373504","551695","europa"
"españa","48619695","505990","europa"
"italia","58850717","301340","europa"
"japon","123294513","377975","asia"
"china","1410710000","9596961","asia"
"india","1463865525","3287263","asia"
"corea del sur","51712619","100210","asia"
"nigeria","227000000","1221037","africa"
"australia","27000000","7692024","oceania"
"nueva zelanda","5300000","268838","oceania"
